Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Head,Amod/Comp,Gender
ussher,ussher.n.01,noun.person,n,Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656),[],prelate,,PPN
ustinov,ustinov.n.01,noun.person,n,British actor and playwright (1921-2004),[],actor,,PPN
usurer,usurer.n.01,noun.person,n,someone who lends money at excessive rates of interest,[],someone,,N
usurper,usurper.n.01,noun.person,n,one who wrongfully or illegally seizes and holds the place of another,[],one,,N
utahan,utahan.n.01,noun.person,n,a native or resident of Utah,[],a,,
ute,ute.n.01,noun.person,n,a member of the Shoshonean people of Utah and Colorado and New Mexico,[],member,,N
utiliser,utilizer.n.01,noun.person,n,someone who puts to good use,"['not all organisms are utilizers of oxygen', 'the social agencies and their utilizers both objected to the budget cut']",someone,,N
utility_man,utility_man.n.01,noun.person,n,a baseball player valued for the ability to play at several positions,[],valued,,
utility_man,utility_man.n.02,noun.person,n,a workman expected to serve in any capacity when called on,[],workman,,N
utilizer,utilizer.n.01,noun.person,n,someone who puts to good use,"['not all organisms are utilizers of oxygen', 'the social agencies and their utilizers both objected to the budget cut']",someone,,N
utnapishtim,utnapishtim.n.01,noun.person,n,favorite of the gods and grandfather of Gilgamish; survived the great flood and became immortal,[],favorite,,
utrillo,utrillo.n.01,noun.person,n,French painter noted for his paintings of Parisian street scenes (1883-1955),[],noted,,PPN
utterer,utterer.n.01,noun.person,n,an organism that can utter vocal sounds,"['an utterer of foul oaths', 'is the giraffe a vocalizer?']",organism,,
utterer,utterer.n.02,noun.person,n,someone who circulates forged banknotes or counterfeit coins,[],someone,,N
utterer,speaker.n.01,noun.person,n,someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous),"['the speaker at commencement', 'an utterer of useful maxims']",someone,,N
utu,utu.n.01,noun.person,n,sun god; counterpart of Akkadian Shamash,[],god,,
utug,utu.n.01,noun.person,n,sun god; counterpart of Akkadian Shamash,[],god,,
ux.,uxor.n.01,noun.person,n,(legal terminology) the Latin word for wife,[],terminology,,
uxor,uxor.n.01,noun.person,n,(legal terminology) the Latin word for wife,[],terminology,,
uxoricide,uxoricide.n.01,noun.person,n,a husband who murders his wife,[],husband,,M
uygur,uighur.n.01,noun.person,n,a member of a people who speak Uighur and live in Xinjiang and adjacent areas,[],member,,N
uzbak,uzbek.n.01,noun.person,n,a member of a Turkic people of Uzbekistan and neighboring areas,[],member,,N
uzbeg,uzbek.n.01,noun.person,n,a member of a Turkic people of Uzbekistan and neighboring areas,[],member,,N
uzbek,uzbek.n.01,noun.person,n,a member of a Turkic people of Uzbekistan and neighboring areas,[],member,,N
v.p.,vice_president.n.01,noun.person,n,an executive officer ranking immediately below a president; may serve in the president's place under certain circumstances,[],serve,,
vacationer,vacationer.n.01,noun.person,n,someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work,[],someone,,N
vacationist,vacationer.n.01,noun.person,n,someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work,[],someone,,N
vaccinator,inoculator.n.01,noun.person,n,a medical practitioner who inoculates people against diseases,[],practitioner,,N
